,Dato,Hjemmelag,Bortelag,Tilskuertall,Mål_hjemmelag,Mål_bortelag,Resultat,Form1,Form3,Form5,Mål forrige hjemmekamp,TV-kanal,Ukedag,16. mai,Derby,Temp,Vind,Precip,Temp.dist,Wind.dist,Precip.dist
0,16.04.2001,Brann,Moss,15 108,1,0,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,1,0,,2.5,0.5,6.5,16.849946387067483,16.849946387067483,10.850327030300221
1,16.04.2001,Lillestrøm,Bryne,5 554,0,0,U,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,1,0,,-1.4,1.3,0,52.678549110759114,52.678549110759114,52.678549110759114
2,16.04.2001,Lyn,Strømsgodset,5 900,2,2,U,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,1,0,,1.2,1.8,0,1.7556966931957296,1.7556966931957296,6.57750284570737
3,16.04.2001,Molde,Bodø/Glimt,6 831,4,1,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,1,0,,,,10,,,61.570386161804045
4,16.04.2001,Odd,Sogndal,5 789,3,0,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,1,0,,-,-,-,,,
5,16.04.2001,Stabæk,Tromsø,5 061,0,3,T,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,1,0,,1.2,1.8,0.1,14.211091368170079,14.211091368170079,14.211091368170079
6,16.04.2001,Viking,Rosenborg,8 130,4,3,V,Første kamp i sesongen,For få kamper,For få kamper,Første hjemmekamp i sesongen,Hovedkamp,1,0,,2.4,3.1,1.2,10.926791620396461,10.926791620396461,10.926791620396461
7,22.04.2001,Bodø/Glimt,Odd,4 289,1,1,U,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,7,0,,3.1,1.5,0.1,2.8809402862077986,2.8809402862077986,2.8809402862077986
8,22.04.2001,Bryne,Stabæk,3 331,0,1,T,U,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,7,0,,2.6,1.1,0,13.112365657925626,13.112365657925626,36.9909023731504
9,22.04.2001,Moss,Viking,3 135,1,3,T,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,7,0,,2,1.5,0,15.413956080152811,15.413956080152811,15.413956080152811
10,22.04.2001,Sogndal,Lyn,1 932,1,0,V,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,7,0,,3.1,2.4,0,48.94796949425968,48.94796949425968,58.26777371669439
11,22.04.2001,Strømsgodset,Lillestrøm,5 420,1,2,T,U,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,7,0,,-,-,-,,,
12,22.04.2001,Tromsø,Brann,5 038,2,0,V,T,For få kamper,For få kamper,Første hjemmekamp i sesongen,-,7,0,,-0.4,0.2,1.5,2.796673503406025,2.796673503406025,113.35405751673612
13,22.04.2001,Rosenborg,Molde,10 923,2,1,V,V,For få kamper,For få kamper,Første hjemmekamp i sesongen,Hovedkamp,7,0,,1.5,0.9,0,5.459731848194788,5.459731848194788,17.192677991448754
14,29.04.2001,Brann,Bryne,11 162,3,4,T,T,For få kamper,For få kamper,1,-,7,0,,5.3,1.5,0,16.849946387067483,16.849946387067483,10.850327030300221
15,29.04.2001,Lillestrøm,Sogndal,4 498,4,1,V,T,For få kamper,For få kamper,0,-,7,0,,5,2,14.3,52.678549110759114,52.678549110759114,52.678549110759114
16,29.04.2001,Lyn,Odd,4 000,1,2,T,U,For få kamper,For få kamper,2,-,7,0,,6.5,3.4,5.5,1.7556966931957296,1.7556966931957296,6.57750284570737
17,29.04.2001,Molde,Moss,6 038,1,1,U,T,For få kamper,For få kamper,4,-,7,0,,,,0,,,61.570386161804045
18,29.04.2001,Stabæk,Strømsgodset,5 030,4,0,V,T,For få kamper,For få kamper,0,-,7,0,,6.5,3.4,2.5,14.211091368170079,14.211091368170079,14.211091368170079
19,29.04.2001,Viking,Tromsø,9 325,4,0,V,V,For få kamper,For få kamper,4,-,7,0,,7.5,3.1,0.5,10.926791620396461,10.926791620396461,10.926791620396461
20,29.04.2001,Bodø/Glimt,Rosenborg,5 003,1,4,T,U,For få kamper,For få kamper,1,Hovedkamp,7,0,,3.6,2.6,0,2.8809402862077986,2.8809402862077986,2.8809402862077986
21,02.05.2001,Bryne,Viking,8 919,1,3,T,T,TTU,For få kamper,0,-,3,0,1.0,6,3.3,0,13.112365657925626,13.112365657925626,36.9909023731504
22,02.05.2001,Lyn,Bodø/Glimt,2 534,2,1,V,T,TUV,For få kamper,1,-,3,0,,4.4,1.3,0,1.7556966931957296,1.7556966931957296,6.57750284570737
23,02.05.2001,Moss,Rosenborg,4 437,0,3,T,U,UTV,For få kamper,1,-,3,0,,7,2.6,0,15.413956080152811,15.413956080152811,15.413956080152811
24,02.05.2001,Odd,Lillestrøm,5 282,4,1,V,V,VTU,For få kamper,3,-,3,0,,-,-,-,,,
25,02.05.2001,Sogndal,Stabæk,1 529,1,0,V,V,VVV,For få kamper,1,-,3,0,,5.8,1.9,0.1,48.94796949425968,48.94796949425968,58.26777371669439
26,02.05.2001,Strømsgodset,Brann,4 079,2,6,T,V,VTU,For få kamper,1,-,3,0,,-,-,-,,,
27,02.05.2001,Tromsø,Molde,4 539,0,2,T,V,VVT,For få kamper,2,-,3,0,,3.3,2.4,0,2.796673503406025,2.796673503406025,113.35405751673612
28,06.05.2001,Bodø/Glimt,Moss,3 369,0,2,T,V,VTU,For få kamper,1,-,7,0,,4.8,7.7,1.6,2.8809402862077986,2.8809402862077986,2.8809402862077986
29,06.05.2001,Brann,Sogndal,13 032,2,1,V,V,VVV,For få kamper,3,-,7,0,,5,2.6,0,16.849946387067483,16.849946387067483,10.850327030300221
30,06.05.2001,Lillestrøm,Lyn,4 451,2,1,V,V,VVT,For få kamper,4,-,7,0,,5,2.5,0,52.678549110759114,52.678549110759114,52.678549110759114
31,06.05.2001,Molde,Bryne,8 375,5,0,V,T,TTT,For få kamper,1,-,7,0,,,,0.4,,,61.570386161804045
32,06.05.2001,Rosenborg,Tromsø,10 081,3,0,V,T,TVV,For få kamper,2,-,7,0,,3.7,2.2,0.2,5.459731848194788,5.459731848194788,17.192677991448754
33,06.05.2001,Stabæk,Odd,4 848,1,0,V,V,VVT,For få kamper,4,-,7,0,,4.7,6.2,0,14.211091368170079,14.211091368170079,14.211091368170079
34,06.05.2001,Viking,Strømsgodset,8 430,1,1,U,T,TVT,For få kamper,4,-,7,0,,4,0.5,0,10.926791620396461,10.926791620396461,10.926791620396461
35,13.05.2001,Odd,Brann,6 015,2,2,U,V,VVT,VVTUV,4,-,7,0,,-,-,-,,,
36,13.05.2001,Bryne,Rosenborg,2 739,1,2,T,V,VTT,VTTTU,1,-,7,0,,6.8,6.7,0,13.112365657925626,13.112365657925626,36.9909023731504
37,13.05.2001,Lillestrøm,Bodø/Glimt,4 075,1,0,V,V,VVV,VVVTU,2,-,7,0,,8.7,2.3,0,52.678549110759114,52.678549110759114,52.678549110759114
38,13.05.2001,Lyn,Stabæk,4 381,1,1,U,V,VVV,VVVTT,2,-,7,0,,10.3,1.2,0,1.7556966931957296,1.7556966931957296,6.57750284570737
39,13.05.2001,Sogndal,Viking,2 300,0,1,T,V,VVV,VVVVV,1,-,7,0,,11.9,6,0,48.94796949425968,48.94796949425968,58.26777371669439
40,13.05.2001,Tromsø,Moss,3 450,0,1,T,T,TTU,TTUTV,0,-,7,0,,3.6,0.2,8.5,2.796673503406025,2.796673503406025,113.35405751673612
41,13.05.2001,Strømsgodset,Molde,2 125,1,1,U,V,VTU,VTUVV,2,Hovedkamp,7,0,,-,-,-,,,
42,16.05.2001,Bodø/Glimt,Tromsø,4 698,1,0,V,V,VTV,VTVTU,0,-,3,1,,3.6,5.1,0,2.8809402862077986,2.8809402862077986,2.8809402862077986
43,16.05.2001,Brann,Lyn,18 725,2,1,V,U,UVV,UVVTV,2,-,3,1,,8.3,1,1,16.849946387067483,16.849946387067483,10.850327030300221
44,16.05.2001,Molde,Sogndal,6 143,3,2,V,T,TVV,TVVVV,5,-,3,1,,,,0,,,61.570386161804045
45,16.05.2001,Moss,Bryne,2 083,2,1,V,T,TVT,TVTTT,0,-,3,1,,10.7,4.6,0.9,15.413956080152811,15.413956080152811,15.413956080152811
46,16.05.2001,Rosenborg,Strømsgodset,16 000,4,0,V,U,UUT,UUTVT,3,-,3,1,,6.3,0.5,0,5.459731848194788,5.459731848194788,17.192677991448754
47,16.05.2001,Stabæk,Lillestrøm,3 940,3,2,V,V,VVV,VVVVT,1,-,3,1,,9.8,2.3,2.6,14.211091368170079,14.211091368170079,14.211091368170079
48,16.05.2001,Viking,Odd,11 270,1,0,V,U,UVV,UVVTU,1,-,3,1,,11.3,3.1,4.6,10.926791620396461,10.926791620396461,10.926791620396461
49,20.05.2001,Bryne,Tromsø,2 239,3,0,V,V,VTV,VTVTT,1,-,7,0,,7.1,4.5,1,13.112365657925626,13.112365657925626,36.9909023731504
50,20.05.2001,Lillestrøm,Brann,6 326,2,1,V,V,VVV,VVVVV,1,-,7,0,,8.2,2.8,0,52.678549110759114,52.678549110759114,52.678549110759114
51,20.05.2001,Lyn,Viking,3 900,1,1,U,V,VUV,VUVVT,1,-,7,0,,8.6,3,0,1.7556966931957296,1.7556966931957296,6.57750284570737
52,20.05.2001,Odd,Molde,5 778,2,1,V,V,VUV,VUVVT,2,-,7,0,,-,-,-,,,
53,20.05.2001,Sogndal,Rosenborg,4 012,1,6,T,V,VTV,VTVVV,0,-,7,0,,6.7,3.8,4.5,48.94796949425968,48.94796949425968,58.26777371669439
54,20.05.2001,Stabæk,Bodø/Glimt,3 732,2,1,V,V,VUV,VUVVV,3,-,7,0,,8.6,3,0.6,14.211091368170079,14.211091368170079,14.211091368170079
55,20.05.2001,Strømsgodset,Moss,3 194,2,4,T,V,VTT,VTTTU,1,-,7,0,,-,-,-,,,
56,24.05.2001,Bodø/Glimt,Bryne,3 583,0,0,U,V,VVT,VVTVT,1,-,4,0,,2,7.2,1.1,2.8809402862077986,2.8809402862077986,2.8809402862077986
57,24.05.2001,Molde,Lyn,5 044,3,2,V,V,VVU,VVUVT,3,-,4,0,,,,22.8,,,61.570386161804045
58,24.05.2001,Moss,Sogndal,2 861,1,2,T,T,TVT,TVTVV,2,-,4,0,,12.3,3.1,0,15.413956080152811,15.413956080152811,15.413956080152811
59,24.05.2001,Rosenborg,Odd,10 017,2,1,V,V,VVU,VVUVV,4,-,4,0,,3.7,6.3,11.5,5.459731848194788,5.459731848194788,17.192677991448754
60,24.05.2001,Tromsø,Strømsgodset,3 075,0,1,T,V,VVT,VVTVT,0,-,4,0,,2.2,0.8,0.1,2.796673503406025,2.796673503406025,113.35405751673612
61,24.05.2001,Viking,Lillestrøm,7 260,3,2,V,V,VVV,VVVVV,1,-,4,0,,9.8,3.1,0.2,10.926791620396461,10.926791620396461,10.926791620396461
62,24.05.2001,Brann,Stabæk,9 005,8,1,V,V,VVU,VVUVV,2,Hovedkamp,4,0,,5.2,4.6,0,16.849946387067483,16.849946387067483,10.850327030300221
63,10.06.2001,Brann,Bodø/Glimt,11 273,2,2,U,U,UVV,UVVVT,8,-,7,0,,6,3.1,1,16.849946387067483,16.849946387067483,10.850327030300221
64,10.06.2001,Lillestrøm,Molde,4 717,4,1,V,V,VVV,VVVVV,2,-,7,0,,8,1,0.8,52.678549110759114,52.678549110759114,52.678549110759114
65,10.06.2001,Lyn,Rosenborg,7 579,1,1,U,V,VUV,VUVUV,1,-,7,0,,7.8,0.5,0,1.7556966931957296,1.7556966931957296,6.57750284570737
66,10.06.2001,Odd,Moss,4 729,3,1,V,V,VVV,VVVUV,2,-,7,0,,-,-,-,,,
